Keys,en_US,en_GB,de_DE,fr_FR,es_ES,ar_AE,ru_RU
Charge,Charge,Charge,Aufladung,Charge,Cargar,تكلفة,Заряжать
ChargeableWeight,Chargeable Weight,Chargeable Weight,Aufladbares Gewicht,Poids taxable,Peso tarifado,الوزن القابل للشحن,Оплачиваемый вес
Commodity,Commodity,Commodity,Ware,Marchandise,Producto,سلعة,Товар
Continue,Continue,Continue,Weitermachen,Continuer,Continuar,يكمل,Продолжать
CurrencyCode,Currency Code,Currency Code,Währungscode,Code de devise,Código de moneda,رمز العملة,Код валюты
GrossWeight,Gross Weight,Gross Weight,Bruttogewicht,Poids brut,Peso bruto,الوزن الإجمالي,Вес брутто
Number,Spot Rate Number,Spot Rate Number,Kassakursnummer,Numéro de tarif au comptant,Número de tarifa al contado,رقم السعر الفوري,Номер спотового курса
ParticipantType,Participant Type,Participant Type,Teilnehmertyp,Type de participant,Tipo de participante,نوع المشارك,Тип участника
Rate,Rate,Rate,Rate,Taux,Tasa,معدل,Ставка
RateClass,Rate Class,Rate Class,Tarifklasse,Classe tarifaire,Clase de tarifa,فئة المعدل,Класс тарифа
RateSource,Rate Source,Rate Source,Preisquelle,Source du taux,Fuente de tarifa,مصدر المعدل,Источник ставок
RateType,Rate Type,Rate Type,Tarifart,Type de taux,Tipo de cambio,نوع معدل,Тип тарифа
RatingLine,Rating Line,Rating Line,Bewertungslinie,Ligne de notation,Línea de calificación,خط التقييم,Рейтинговая линия
Reject,Reject,Reject,Ablehnen,Rejeter,Rechazar,يرفض,Отклонять
ULDType,ULD Type,ULD Type,ULD-Typ,Type ULD,Tipo ULD,نوع يو إل دي,Тип УЛД
Weight,Weight,Weight,Gewicht,Poids,Peso,وزن,Масса
WeightUnit,Weight Unit,Weight Unit,Gewichtseinheit,Unité de poids,Unidad de peso,وحدة الوزن,Весовая единица
title,Select Spot Rate,Select Spot Rate,Wählen Sie Kassakurs,Sélectionnez le taux au comptant,Seleccionar tarifa al contado,حدد السعر الفوري,Выберите спотовый курс
AirWaybill,Air Waybill,Air Waybill,Luftfrachtbrief,Lettre de transport aérien,Carta de porte aéreo,بوليصة الشحن الجوي,Авианакладная
AirWaybillCreationDateTime,Air Waybill Creation Date/Time (UTC),Air Waybill Creation Date/Time (UTC),Datum/Uhrzeit der Erstellung des Luftfrachtbriefs (UTC),Date/heure de création de la lettre de transport aérien (UTC),Fecha/hora de creación de la guía aérea (UTC),تاريخ/وقت إنشاء بوليصة الشحن الجوي (UTC),Дата/время создания авианакладной (UTC)
AirWaybillDestination,Air Waybill Destination,Air Waybill Destination,Zielort des Luftfrachtbriefs,Destination de la lettre de transport aérien,Destino de la guía aérea,وجهة بوليصة الشحن الجوي,Пункт назначения авианакладной
AirWaybillOrigin,Air Waybill Origin,Air Waybill Origin,Herkunft des Luftfrachtbriefs,Origine de la lettre de transport aérien,Origen de la carta de porte aéreo,مصدر بوليصة الشحن الجوي,Происхождение авианакладной
ArchiveShipmentAttachments,Archive Shipment Attachments,Archive Shipment Attachments,Sendungsanhänge archivieren,Archiver les pièces jointes aux envois,Archivar archivos adjuntos de envío,أرشفة مرفقات الشحنة,Архив вложений по доставке
Attachments,Attachments,Attachments,Anhänge,Pièces jointes,Archivos adjuntos,المرفقات,Вложения
CancelButton,Cancel,Cancel,Stornieren,Annuler,Cancelar,يلغي,Отмена
ChooseFile,Choose File,Choose File,Datei wählen,Choisir le fichier,Elija el archivo,اختر ملف,Выберите файл
DeleteDateTime,Delete Date/Time (UTC),Delete Date/Time (UTC),Datum/Uhrzeit löschen (UTC),Supprimer la date/heure (UTC),Eliminar fecha/hora (UTC),حذف التاريخ/الوقت (التوقيت العالمي المنسق),Удалить дату/время (UTC)
DeleteStation,Delete Station,Delete Station,Station löschen,Supprimer une station,Eliminar estación,حذف المحطة,Удалить станцию
DeleteUser,Delete User,Delete User,Benutzer löschen,Supprimer l'utilisateur,Borrar usuario,مسح المستخدم,Удалить пользователя
Description,Description,Description,Beschreibung,Description,Descripción,وصف,Описание
Details,Details,Details,Einzelheiten,Détails,Detalles,تفاصيل,Подробности
FileName,File Name,File Name,Dateiname,Nom de fichier,Nombre del archivo,اسم الملف,Имя файла
Filename,Filename,Filename,Dateiname,Nom de fichier,Nombre del archivo,اسم الملف,Имя файла
Function,Function,Function,Funktion,Fonction,Función,وظيفة,Функция
Process,Process,Process,Verfahren,Processus,Proceso,عملية,Процесс
Search,Search,Search,Suchen,Recherche,Buscar,يبحث,Поиск
ShipmentAttachments,Shipment Attachments,Shipment Attachments,Versandanhänge,Pièces jointes à l'expédition,Adjuntos de envío,مرفقات الشحن,Отгрузочные вложения
Status,Status,Status,Status,Statut,Estado,حالة,Положение дел
UploadButton,Upload,Upload,Hochladen,Télécharger,Subir,رفع,Загрузить
UploadDateTime,Upload Date/Time (UTC),Upload Date/Time (UTC),Datum/Uhrzeit des Uploads (UTC),Date/heure de téléchargement (UTC),Fecha/hora de carga (UTC),تاريخ/وقت التحميل (التوقيت العالمي المنسق),Дата/время загрузки (UTC)
UploadDescription,Upload Description,Upload Description,Beschreibung hochladen,Télécharger la description,Subir descripción,تحميل الوصف,Загрузить описание
UploadStation,Upload Station,Upload Station,Upload-Station,Station de téléchargement,Subir estación,محطة التحميل,Загрузить станцию
UploadUser,Upload User,Upload User,Benutzer hochladen,Télécharger l'utilisateur,Subir usuario,تحميل المستخدم,Загрузить пользователя
Actual,Actual,Actual,Tatsächlich,Réel,Actual,فِعلي,Действительный
Amount,Amount,Amount,Menge,Montant,Cantidad,كمية,Количество
ChargeCode,Charge Code,Charge Code,Gebührencode,Code de facturation,Código de carga,رمز الشحن,Код оплаты
ChargeableWeight,Chargeable Weight,Chargeable Weight,Aufladbares Gewicht,Poids taxable,Peso tarifado,الوزن القابل للشحن,Оплачиваемый вес
CollectDucAgent,Collect Due Agent,Collect Due Agent,Sammeln Sie den fälligen Agenten,Agent de recouvrement dû,Cobrar debido agente,جمع الوكيل المستحق,Агент по сбору средств
CollectOueCarrier,Collect Due Carrier,Collect Due Carrier,Sammeln Sie den fälligen Spediteur,Collecter le transporteur dû,Recoger al transportista debido,جمع الناقل المستحق,Получите оплату перевозчика
Comodity,Commodity,Commodity,Ware,Marchandise,Producto,سلعة,Товар
Contract,Contract,Contract,Vertrag,Contracter,Contrato,عقد,Договор
ContractToApply,Contract To Apply,Contract To Apply,Vertrag zur Bewerbung,Contrat à appliquer,Contrato para aplicar,العقد للتقديم,Контракт для подачи заявки
Credit,Credit,Credit,Kredit,Crédit,Crédito,ائتمان,Кредит
Details,Details,Details,Einzelheiten,Détails,Detalles,تفاصيل,Подробности
DimensionalWeight,Dimensional Weight,Dimensional Weight,Dimensionsgewicht,Poids dimensionnel,Peso dimensional,الوزن الأبعاد,Габаритный вес
Due,Due,Due,Fällig,Exigible,Pendiente,حق,Должный
Face,Face,Face,Gesicht,Affronter,Rostro,وجه,Лицо
FlightDateForRating,Flight Date for Rating,Flight Date for Rating,Flugdatum für die Bewertung,Date de vol pour la notation,Fecha de vuelo para calificación,تاريخ الرحلة للتقييم,Дата полета для рейтинга
FlightNumberForRating,Flight Number for Rating,Flight Number for Rating,Flugnummer für die Bewertung,Numéro de vol pour la notation,Número de vuelo para calificación,رقم الرحلة للتقييم,Номер рейса для рейтинга
GrossWeight,Gross Weight,Gross Weight,Bruttogewicht,Poids brut,Peso bruto,الوزن الإجمالي,Вес брутто
NetNet,Nct-Net,Nct-Net,Nct-Net,Nct-Net,nct-net,إن سي تي نت,НКТ-Нет
OtherChargeDescription,Desciption,Desciption,Beschreibung,Description,Descripción,وصف,Описание
